"neighborhood","geoid","population","latitude","longitude","perceived_violence","svi","walkability","eviction_filing_rate","eviction_rate","perceived_sidewalk_qual","internet_access","easy_to_transit","rent_burdened","tree_canopy","litter","low_food_access","adult_loneliness","mental_health_need","disability","overall_health","perceived_safety","trust_law_enforce","trust_local_gov","high_school_grad","college_grad","preschool_enroll","unemployment","community_belonging","single_parent","poverty","percent_snap","percent_eligible_no_snap","public_assistance","foreign_born","limited_english_proficiency","nonhispanic_white","firearm_homicide","grade9_ed","roads_rail_airport_proximity_index","food_insecurity","medicaid","noncitizen","veteran","chicago_area","facet_area"
"Belmont Cragin","19",78151,-87.765502,41.927275,17.511607864,80.1294129467404,14.7775814015383,2.05481032953395,0.565279097419479,27.61115051,89.085686579,71.717620694,53.6466536068895,15.2,27.876621194,0.00970678455631717,24.96718511,90.359035771,10.6148227482864,84.672729569,53.823443983,58.078078196,50.448002098,70.7022196975974,15.8975987581273,44.4589864839334,4.51676639862892,30.321235955,7.65527762931047,15.1402622083007,21.1500219893336,53.5510146466528,4.19571609357221,35.9465707250637,19.1860765425914,14.6844826840104,10.7,81.9759932883841,34.2519101124803,14.593182993183,30.2454118778049,20.3972796514902,2.12948473000571,"west","The West Side"
"West Ridge","2",77139,-87.695017,42.001583,18.183798701,82.3187903429451,14.5477380041968,2.00239934579005,0.691219453868228,49.270480954,86.133637414,69.211510615,46.5146634046657,26,45.203021589,9.32642202852269,30.09650634,80.413273899,9.02928180196676,90.183871941,69.992571234,61.32712013,40.468776086,83.625863591122,41.2203490614747,51.6996270738221,6.5352381264116,43.933275108,8.24633037503404,17.1049540010249,20.8898877215071,54.1069564957338,5.10461458726609,39.2680720262741,10.2376828914486,39.9863625840371,5,90.2202710646586,49.4735795674416,19.1071741143482,32.2562841856958,18.8526899173931,1.90427757483688,"north","The North Side"
"Hermosa","20",24127,-87.734741,41.924353,34.544768447,79.9718239784984,13.8127219766831,1.55809130209482,0.506470923809193,35.664363339,91.820556264,64.779763321,43.5241909191375,17,36.459838085,0.00156022376168676,37.14691872,77.714448576,9.31697580491856,80.727789759,38.978345199,56.091085554,34.528489009,72.3462506079829,19.9492351877021,48.0003315607201,5.50281108144731,40.18353079,8.69918253330893,13.676334474802,17.6964735850749,66.1381570673429,3.86823303592531,32.5414276653654,20.3861892849832,12.08693356993,10.2,81.5727011463999,39.1366365968273,15.4811061433184,27.4895573379505,17.3249564155989,1.54756289071783,"west","The West Side"
"Avondale","21",36245,-87.711219,41.938673,19.573154651,62.3392807380017,15.1624867016166,1.13212996396678,0.404173541475911,61.506738499,92.955803863,87.001235571,36.3619645628058,16.1,47.031666789,0.00858381841740546,30.43902341,58.706480476,7.99582244352885,94.993616884,77.041394907,53.019513192,52.102780856,86.6591826750212,43.8308452156034,40.6348281654828,5.67022392236355,49.450712914,5.42783490614222,12.8577624974608,10.8749740236804,63.3386017722166,3.26599939677723,24.8402212779987,11.8178002263469,37.4552125088351,2.4,91.9381385504141,77.5740478223094,14.3747807234651,18.6321972816498,13.5473096716347,1.85395334257284,"west","The West Side"
"Logan Square","22",71742,-87.699149,41.922768,28.577492177,40.9227084316682,15.700717089786,0.752352689405861,0.22714497695648,60.985856388,91.772348063,86.57373281,36.0767778401382,19.9,45.9162375,0.0104765477811148,37.20894209,63.127593068,5.95505270007189,86.096774261,76.54646781,46.388062049,49.184002294,91.9187677446825,60.653211167076,69.5112916011095,4.37168085013481,53.238592947,3.94300667202447,11.4246408623536,9.17861452797982,65.4727919799134,3.11627705842043,15.4549990559863,8.00559143858641,51.7130392345272,2.2,94.751849105759,67.8037862636412,12.5733603467207,14.0947362476325,7.52928615212967,1.62764906521863,"west","The West Side"
"Humboldt Park","23",53832,-87.720917,41.90008,46.526000168,88.1966572089766,14.1314767692744,2.84505136136751,0.940870611098806,44.085766373,93.522970577,69.012868066,54.508681745913,16.5,17.636858775,16.4262630325303,23.68823485,85.447912207,13.3352248891617,88.304392039,47.137289995,59.566369026,52.911071126,76.3498228525777,22.8707203070754,40.193230971001,10.4891455669415,36.453421789,15.8375237912573,25.0077225938895,30.5900736336938,38.438695458212,5.84278653586767,18.2453015819192,9.51555563848989,12.1301247701171,47.3,86.5793220447507,42.9094659272801,24.1757783031132,37.3527829715876,11.3688894194214,2.30136766696838,"west","The West Side"
"West Town","24",87942,-87.676358,41.901216,27.802513268,24.9582534878115,15.7948060002588,0.726530177176377,0.271156481076376,49.765908894,98.16504643,86.030262977,30.4731441429399,19.5,47.808655344,0.61131394991469,37.76550721,67.956962391,5.59204222496508,95.768315898,64.642861817,47.028601922,39.975649267,94.8341466181928,73.4713732988319,71.2065940273907,3.51494156696091,35.262649448,3.22469301159342,8.93467418224357,7.41259771096568,68.2188547950146,2.29763253354257,12.1821308730414,4.24596747035537,62.8627783397913,5.8,96.7980677214853,64.9050799726108,13.5762623914111,10.1654683526435,5.4471733487087,1.27724489942678,"west","The West Side"
"Austin","25",96753,-87.763117,41.894113,51.363273984,87.0268629183722,13.0286990211371,5.15179005594469,1.91166237400501,41.475707261,79.94172741,72.491732166,59.8722996555515,19,27.260018715,32.4076171323229,44.78203126,90.035814355,17.7639844201016,73.295080005,32.110785118,37.455017978,27.946900879,82.2870398431015,14.3045255093762,50.5056237302838,14.5040636586171,33.738590348,12.0149769479163,25.9996153037321,36.9577729927716,38.142350843161,6.51238236969546,8.16172871378833,3.51624809769483,5.59981875711768,73.2,92.8713568942935,50.7226351094789,26.4804069628487,39.7937481612742,5.03150302462935,4.73184056173783,"west","The West Side"
"West Garfield Park","26",17423,-87.730233,41.878602,72.194152467,86.6689022435081,14.2752518855159,5.33537383886477,2.08553115425684,44.83955596,73.104733587,64.63408084,65.718223754896,17.9,NA,0.0501227301129808,44.57742596,70.255866337,23.3299509531745,80.870363607,12.055514059,28.115790232,23.135385336,75.0901026459389,7.63733262120758,64.8816843415369,20.7244542186278,45.736880329,13.9058074410137,33.6653737089361,53.0874716991642,23.2568667953527,5.30460289080895,1.61767817740343,1.00302753957806,2.27623078664269,109.2,94.6245751158131,77.7742997503863,35.6939967,52.1139438205272,1.37780675938853,3.28997792746506,"west","The West Side"
"East Garfield Park","27",19995,-87.705892,41.878923,67.996716958,86.9647406356756,14.827388279309,4.0970497227714,1.37350745633043,37.622486042,77.881954489,60.20300436,58.0855994919359,18.4,24.435248548,52.3356796509787,35.24579588,86.688049371,18.1472368816481,74.461432505,33.192055715,49.185592078,28.916301877,79.9753660370929,20.4204372625879,53.3361244849768,17.1573846153676,39.685641343,20.9684387491262,40.4271973408788,47.1484921606182,31.7773663831082,6.79701853656948,1.75401507416095,0.348355133099308,5.83617375312162,75.5,95.6066133999197,77.9355751980835,37.705522293879,48.115747935708,0.684482271947782,2.63381150707776,"west","The West Side"
